회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),상장일,상장폐지일
(주)SIMPAC,009160,2016/12,417865468,240416530,23566192,16183843,267074156,1989/07/29,
(주)SIMPAC,009160,2017/12,381158251,240826100,11697915,12895699,230634812,1989/07/29,
(주)SIMPAC,009160,2018/12,681750819,435032869,10190572,69198558,306150809,1989/07/29,
(주)SIMPAC,009160,2019/12,679145850,441195485,11141319,9487516,430085162,1989/07/29,
(주)SIMPAC,009160,2020/12,737277692,463986165,7787378,34139484,365863303,1989/07/29,
(주)SNT에너지,100840,2011/12,,,,,,2008/02/22,
(주)SNT에너지,100840,2012/12,,,,,,2008/02/22,
(주)SNT에너지,100840,2013/12,,,,,,2008/02/22,
(주)SNT에너지,100840,2014/12,,,,,,2008/02/22,
(주)SNT에너지,100840,2015/12,,,,,,2008/02/22,
(주)SNT에너지,100840,2016/12,,,,,,2008/02/22,
(주)SNT에너지,100840,2017/12,,,,,,2008/02/22,
(주)SNT에너지,100840,2018/12,,,,,,2008/02/22,
(주)SNT에너지,100840,2019/12,333897235,244954910,17473548,15452273,213326726,2008/02/22,
(주)SNT에너지,100840,2020/12,335351657,235772710,23125971,9787541,237399736,2008/02/22,
(주)SNT홀딩스,036530,2011/12,2124828265,1311007481,120504644,87196578,1663846065,2002/10/22,
(주)SNT홀딩스,036530,2012/12,2074903906,1318022867,85693573,63253909,1668749904,2002/10/22,
(주)SNT홀딩스,036530,2013/12,2149176237,1374365240,84798090,53763061,1576368464,2002/10/22,
(주)SNT홀딩스,036530,2014/12,2039388864,1356040938,65504975,66985248,1552374806,2002/10/22,
(주)SNT홀딩스,036530,2015/12,2169311305,1529249091,161533664,116419931,1612746929,2002/10/22,
(주)SNT홀딩스,036530,2016/12,2210178425,1530892611,72283066,10146568,1537700275,2002/10/22,
(주)SNT홀딩스,036530,2017/12,2146174938,1519293154,60637139,25863066,1508152132,2002/10/22,
(주)SNT홀딩스,036530,2018/12,2113834573,1503275496,72650119,73732317,1401307482,2002/10/22,
(주)SNT홀딩스,036530,2019/12,2236679025,1625933047,126277061,124509305,1512114565,2002/10/22,
(주)SNT홀딩스,036530,2020/12,2270485740,1617529065,127086173,77889420,1435754699,2002/10/22,
(주)STX,011810,2011/12,5234175000,1915942000,234608000,222363000,5967701000,1990/09/12,
(주)STX,011810,2012/12,5067029000,1506639000,-410811000,-490928000,6159850000,1990/09/12,
(주)STX,011810,2013/12,1342520000,-509663000,-961776000,-1595630000,2449401000,1990/09/12,
(주)STX,011810,2014/12,1255002000,93662000,35691000,380584000,1634606000,1990/09/12,
(주)STX,011810,2015/12,1267224000,72342000,-34170000,-48982000,1630827000,1990/09/12,
(주)STX,011810,2016/12,707709000,-330596000,-34169000,-457446000,1720153000,1990/09/12,
(주)STX,011810,2017/12,627542000,42560000,44053000,334386000,1803878000,1990/09/12,
(주)STX,011810,2018/12,554061000,64028000,-14778000,9107000,1502985000,1990/09/12,
(주)STX,011810,2019/12,560107000,56291000,1748000,-33218000,1471164000,1990/09/12,
(주)STX,011810,2020/12,617563000,81729000,-493000,-20448000,975567000,1990/09/12,
(주)TCC스틸,002710,2011/12,454329510,225441968,11421367,4557868,514424043,1984/12/21,
(주)TCC스틸,002710,2012/12,547013976,225998781,5933944,124581,501337475,1984/12/21,
(주)TCC스틸,002710,2013/12,543708595,205738102,-7745721,-19955830,500832754,1984/12/21,
(주)TCC스틸,002710,2014/12,551000563,189038004,344471,-15813610,518995240,1984/12/21,
(주)TCC스틸,002710,2015/12,376394571,86012476,15855157,-110218983,495795871,1984/12/21,
(주)TCC스틸,002710,2016/12,282914735,103337634,15351135,16948843,444453635,1984/12/21,
