회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS),매출액(수익)(*)(IFRS),당기순이익(손실)(IFRS),자본(*)(IFRS),이자비용(IFRS),이자수익(IFRS),배당금수익(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS),* 발행한 주식총수(*)(IFRS),자산(*)(IFRS),현금및현금성자산(*)(IFRS),유동부채(*)(IFRS),재고자산(*)(IFRS),유동자산(*)(IFRS),부채(*)(IFRS),합계_기말인원,법인세비용차감전(계속사업)손익(IFRS),인건비(IFRS),금융비용(IFRS),임차료(IFRS),세금과공과(IFRS),감가상각비(IFRS),상장일,상장폐지일
(주)ES큐브,050120,2017/12,2170102,37104908,1218923,71398467,785009,492605,3086,3989913,83243054,104850192,21621666,4085637,408271,0,33451725,35,1061.7,2374.2,289.32,38.55,0,712.31,2002/04/25,
(주)ES큐브,050120,2018/12,691469,31308873,-3836071,66518631,1482191,757530,0,116879,83243054,108481764,18764713,37696219,560371,0,41963133,30,-3840.51,2483.47,724.66,0,0,809.39,2002/04/25,
(주)ES큐브,050120,2019/12,587700,28527284,-12738710,53986331,3540387,672339,0,1886276,83088255,136065488,13606557,54789915,468610,0,82079157,30,-12563.18,2427.59,2868.05,0,0,708.88,2002/04/25,
(주)ES큐브,050120,2020/12,1452732,30293088,-29081429,72949614,3206852,277435,0,-312007,135640864,81995388,1264570,8346341,640650,0,9045774,24,-29081.43,2258.7,2929.42,0,0,300.1,2002/04/25,
(주)HJ중공업,097230,2011/12,59453000,2316017000,-116272000,1874877000,172549000,25018000,0,-297988000,48288465,5857119000,647026000,1800533000,183693000,0,3982242000,2785,-102044,197662,147531,54773,28888,37222,2007/08/31,
(주)HJ중공업,097230,2012/12,28591000,1980761000,13082000,1863529000,168022000,23049000,0,-227250000,48288465,5938108000,622643000,2125376000,163272000,0,4074579000,2634,25011,207835,144973,49693,25595,34936,2007/08/31,
(주)HJ중공업,097230,2013/12,-109107000,1927307000,-212716000,1804609000,151803000,15548000,0,-186309000,69288465,5839633000,446094000,2490138000,489464000,0,4035024000,2758,-279611,268095,128944,38370,24107,33532,2007/08/31,
(주)HJ중공업,097230,2014/12,-106249000,1799016000,-225739000,1761886000,136071000,15535000,0,-101009000,102288465,5469810000,215201000,2203465000,459613000,0,3707924000,2544,-248098,268275,118867,40626,29726,31793,2007/08/31,
(주)HJ중공업,097230,2015/12,-97810000,2041347000,-260118000,1377529000,130127000,11257000,0,109406000,102288465,4638381000,79869000,2558441000,721779000,0,3260852000,2632,-316603,269035,116618,51151,20748,30068,2007/08/31,
(주)HJ중공업,097230,2016/12,49319000,1928591000,-334429000,904150000,122397000,9876000,0,78719000,106052508,3921561000,98951000,1598996000,518530000,27432000,3017411000,2473,-338323,219001,110409,42774,17149,26004,2007/08/31,
(주)HJ중공업,097230,2017/12,86683000,1737428000,-299028000,563410000,97781000,8970000,0,368798000,106052508,3312303000,107247000,2532122000,655299000,0,2748893000,2493,-297386,202835,86071,33502,18391,19427,2007/08/31,
(주)HJ중공업,097230,2018/12,-66005000,1750954000,-963474000,-398930000,99651000,9852000,0,182116000,106052508,2388369000,228601000,1490510000,519388000,0,2787299000,2271,-991271,181627,86711,26982,15950,15228,2007/08/31,
(주)HJ중공업,097230,2019/12,77055000,1609530000,-73654000,247272000,120720000,7992000,0,140634000,83274281,2465650000,122369000,1840367000,363759000,0,2218378000,2016,-60968,171931,102576,18082,39461,20880,2007/08/31,
(주)HJ중공업,097230,2020/12,51087000,1694634000,76553000,320418000,57800000,6951000,0,252907000,83274281,2189125000,213850000,1031684000,167158000,0,1868707000,1944,11066,162989,49893,27406,18976,19290,2007/08/31,
(주)MH에탄올,023150,2011/12,6908187,43206995,3351943,56161251,4593208,1630736,197400,4202371,7000000,135927085,885201,66482839,4542443,0,79765833,51,4512.95,3870.37,2765.07,0,0,1079.96,1996/12/24,
(주)MH에탄올,023150,2012/12,6518758,45488675,2571700,58712944,3983343,1163390,0,2788992,7000000,139200817,2474,67402817,5306016,0,80487873,52,3316.26,3962.5,2819.95,0,424.31,952.9,1996/12/24,
(주)MH에탄올,023150,2013/12,9650241,46298516,-11627211,47119925,2808886,256953,0,5638467,7000000,122520742,47455,67842982,6094594,0,75400817,51,-17949.28,4023.45,2551.93,0,424.07,850.13,1996/12/24,
(주)MH에탄올,023150,2014/12,8746818,48983781,4618332,52507884,1555697,310717,0,5125822,7378526,85253876,4557,31619104,6986598,0,32745993,53,4264.86,4368.17,1244.98,0,324.92,827.61,1996/12/24,
(주)MH에탄올,023150,2015/12,11094172,50386203,7744832,57569789,873794,247833,0,13354086,7378526,78691328,3151595,20538474,3603074,0,21121539,47,9990.32,4383.54,625.96,0,319.28,1133.78,1996/12/24,
(주)MH에탄올,023150,2016/12,11876872,48897025,8134873,63257513,403741,306074,0,12230065,7378526,72025138,1356886,7640583,5538540,0,8767625,43,10440.14,4839.4,97.67,0,337.45,1168.22,1996/12/24,
(주)MH에탄올,023150,2017/12,10452914,48270464,5903108,64698932,313976,380371,0,10755779,7378526,107437079,760875,15540676,5502545,0,42738147,48,8319.86,4934.38,-66.4,0,345.47,1349.02,1996/12/24,
(주)MH에탄올,023150,2018/12,9028515,46943080,6553371,68471529,1033740,186127,220388,6668746,7378526,109656889,4630,13740951,6430326,0,41185360,50,8252.18,5459.83,627.23,0,369.93,1338.09,1996/12/24,
(주)MH에탄올,023150,2019/12,7828586,46992295,-5004935,59477642,1031751,83407,219390,6417691,7378526,101058662,1583,14251549,8081383,0,41581021,47,-3444.06,5927.26,728.95,0,354.54,1529.86,1996/12/24,
(주)MH에탄올,023150,2020/12,8238755,51277355,1156387,57609425,848071,56566,219975,7639662,7378526,97515830,5902,17422585,8261937,0,39906405,54,2675.21,6032.65,571.53,0,361.45,1453.68,1996/12/24,
(주)SH에너지화학,002360,2011/12,4987642,172752632,3164441,64498684,1424281,715859,1711,6995359,111479950,102383199,3590134,32842749,11114123,0,37884515,109,3683.23,7862.51,706.71,0,0,1968.85,1985/12/23,
(주)SH에너지화학,002360,2012/12,2874585,191907628,1079738,64888612,1270453,660806,1811,363577,111139950,102492810,460450,28724217,14210523,0,37604198,112,1663.47,8845.3,607.84,0,0,2047.53,1985/12/23,
(주)SH에너지화학,002360,2013/12,7203175,229783541,4841817,69781889,1211308,709768,0,7500585,111139950,109984767,4805311,34930123,11944305,0,40202877,116,5568.88,10610.53,501.54,0,0,2044.43,1985/12/23,
(주)SH에너지화학,002360,2014/12,20274504,226971465,15569914,83404299,797274,757649,0,24219262,111139950,109098264,6708820,20421353,13898172,0,25693965,140,19858.8,11801.17,39.63,0,0,2096.95,1985/12/23,
