회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),자본(*)(요약)(IFRS)(백만원),부가가치(IFRS)(백만원),유형자산(요약)(IFRS)(백만원),기계장치(IFRS)(천원),(감가상각누계액)(IFRS)(천원),자산(*)(요약)(IFRS)(백만원),상장일,상장폐지일
(주)SH에너지화학,002360,2019/12,14508726,97386,12959.9,33126,33882924,0,121126,1985/12/23,
(주)SH에너지화학,002360,2020/12,3789738,89817,7414.09,36533,34096547,21544293,116570,1985/12/23,
(주)SIMPAC,009160,2011/12,18174973,155833,47745.41,62702,18666167,8593320,296953,1989/07/29,
(주)SIMPAC,009160,2012/12,12986618,177830,45503.45,64183,22387797,10004043,307367,1989/07/29,
(주)SIMPAC,009160,2013/12,11709355,197901,44116.55,64271,24742321,11537825,349837,1989/07/29,
(주)SIMPAC,009160,2014/12,29061253,203905,35041.8,70605,26089830,13050004,329326,1989/07/29,
(주)SIMPAC,009160,2015/12,10489830,220088,48511.4,75847,29948323,14141205,369349,1989/07/29,
(주)SIMPAC,009160,2016/12,30470575,228959,45818.17,75130,36313076,16288861,366245,1989/07/29,
(주)SIMPAC,009160,2017/12,-13628628,223782,33411.91,70403,36327651,19898024,343005,1989/07/29,
(주)SIMPAC,009160,2018/12,36290248,411120,94742.34,156313,109088328,72961547,628334,1989/07/29,
(주)SIMPAC,009160,2019/12,45146571,419216,50726.3,153003,107745959,77360202,608693,1989/07/29,
(주)SIMPAC,009160,2020/12,433907,434213,68798.87,144620,106990459,83238994,656622,1989/07/29,
(주)SNT에너지,100840,2011/12,-17274075,160596,-5072.93,122586,15414466,9637066,276512,2008/02/22,
(주)SNT에너지,100840,2012/12,26635237,183306,-3911.2,122290,16128417,10469209,292802,2008/02/22,
(주)SNT에너지,100840,2013/12,20128884,198165,36145.24,120367,14694527,10588554,311675,2008/02/22,
(주)SNT에너지,100840,2014/12,-24774316,207713,31921.1,120066,15671342,11489950,304512,2008/02/22,
(주)SNT에너지,100840,2015/12,2204846,231400,53697.45,118715,14376480,10825037,316196,2008/02/22,
(주)SNT에너지,100840,2016/12,35017765,229800,21049.19,118148,14801750,11799503,348042,2008/02/22,
(주)SNT에너지,100840,2017/12,-5579426,233817,22693.15,116825,15079150,12794708,300267,2008/02/22,
(주)SNT에너지,100840,2018/12,14435813,231276,16995.59,115728,15107344,13549480,280992,2008/02/22,
(주)SNT에너지,100840,2019/12,-40057737,245545,34093.55,116276,1438868,0,331391,2008/02/22,
(주)SNT에너지,100840,2020/12,66428615,236559,29746.15,116718,16290105,14295914,332066,2008/02/22,
(주)SNT홀딩스,036530,2011/12,9351556,387839,-3092.48,151,0,0,388124,2002/10/22,
(주)SNT홀딩스,036530,2012/12,8670824,388612,10002.42,100,0,0,388965,2002/10/22,
(주)SNT홀딩스,036530,2013/12,7969284,396852,8821.66,55,0,0,397336,2002/10/22,
(주)SNT홀딩스,036530,2014/12,6847661,398863,7483.38,75,0,0,399244,2002/10/22,
(주)SNT홀딩스,036530,2015/12,7958287,421925,36674.24,55,0,0,430584,2002/10/22,
(주)SNT홀딩스,036530,2016/12,761622,426683,6611.38,36,0,0,427002,2002/10/22,
(주)SNT홀딩스,036530,2017/12,6184231,425136,4405.14,20,0,0,425435,2002/10/22,
(주)SNT홀딩스,036530,2018/12,6691516,422573,6864.34,3,0,0,422805,2002/10/22,
(주)SNT홀딩스,036530,2019/12,10098608,416940,10601.11,60,0,0,417173,2002/10/22,
(주)SNT홀딩스,036530,2020/12,22924890,423684,24799.93,45,0,0,423961,2002/10/22,
(주)STX,011810,2011/12,-108220000,1164648,236828,72801,0,0,3302248,1990/09/12,
(주)STX,011810,2012/12,159192000,1123534,92155,69598,0,0,3226878,1990/09/12,
(주)STX,011810,2013/12,85353000,-522090,-1518511,62152,0,0,1086567,1990/09/12,
(주)STX,011810,2014/12,-78562000,54894,390447,57120,0,0,1070433,1990/09/12,
(주)STX,011810,2015/12,28936000,72316,-7212,53714,0,0,1057543,1990/09/12,
(주)STX,011810,2016/12,31638000,-328883,-408612,30798,0,0,627686,1990/09/12,
(주)STX,011810,2017/12,93844000,44710,366717,29631,0,0,520393,1990/09/12,
(주)STX,011810,2018/12,-51274000,62213,28236,28464,0,0,446758,1990/09/12,
(주)STX,011810,2019/12,12558000,50616,-15090,43245,0,0,462734,1990/09/12,
(주)STX,011810,2020/12,66336000,25856,4621,49652,0,0,362854,1990/09/12,
(주)TCC스틸,002710,2011/12,-8210627,205617,47387.55,75283,51927686,33366520,407744,1984/12/21,
(주)TCC스틸,002710,2012/12,10878979,209756,44247.81,71555,54333787,35152570,438643,1984/12/21,
(주)TCC스틸,002710,2013/12,21218485,210086,37086.29,71256,59805178,38941599,444205,1984/12/21,
(주)TCC스틸,002710,2014/12,13870764,210094,38278.43,68743,62490884,42685069,461298,1984/12/21,
(주)TCC스틸,002710,2015/12,36353152,76556,-113808.25,50636,64663749,46290177,330652,1984/12/21,
(주)TCC스틸,002710,2016/12,-34206656,92624,53606.1,43731,60524036,44186502,250878,1984/12/21,
(주)TCC스틸,002710,2017/12,-7248002,89627,30346.26,45542,66209010,50616325,248896,1984/12/21,
(주)TCC스틸,002710,2018/12,13968719,98352,44068.24,43204,63748365,50122528,268136,1984/12/21,
(주)TCC스틸,002710,2019/12,-251282,97501,42215.18,47129,68773022,53099856,270265,1984/12/21,
(주)TCC스틸,002710,2020/12,-998793,98250,32229.5,46386,67647765,53673286,261205,1984/12/21,
(주)가비아,079940,2011/12,6750777,24299,15017.54,7163,0,0,37296,2005/10/19,
(주)가비아,079940,2012/12,9005290,31165,17319.4,23749,0,0,51796,2005/10/19,
(주)가비아,079940,2013/12,6245989,34823,16859.32,22733,0,0,52152,2005/10/19,
(주)가비아,079940,2014/12,8696486,38148,19430.85,22313,0,0,55984,2005/10/19,
(주)가비아,079940,2015/12,10152135,42470,22440.14,22211,0,0,57657,2005/10/19,
(주)가비아,079940,2016/12,9339489,45414,23132.9,22430,0,0,61161,2005/10/19,
(주)가비아,079940,2017/12,8670614,47663,22812.97,22362,0,0,64986,2005/10/19,
(주)가비아,079940,2018/12,9241321,49833,24805.77,24425,0,0,69316,2005/10/19,
(주)가비아,079940,2019/12,13243609,54084,29591.96,39725,0,0,82965,2005/10/19,
(주)가비아,079940,2020/12,16302314,58360,31230.15,46401,0,0,98083,2005/10/19,
(주)가온칩스,399720,2018/12,,,,,,,,2022/05/20,
(주)가온칩스,399720,2019/12,,,,,,,,2022/05/20,
(주)가온칩스,399720,2020/12,1889903,10875,9025.03,3544,0,0,25532,2022/05/20,
(주)강스템바이오텍,217730,2013/12,,,,,,,,2015/12/21,
(주)강스템바이오텍,217730,2014/12,,,,,,,,2015/12/21,
