회사명,거래소코드,회계년도,매출액(영업수익)(*)(연결),영업이익(손실)(연결),당기순이익(순손실)(연결)
(주)TCC스틸,002710,2001/12,254601800,14299893,2168929
(주)TCC스틸,002710,2002/12,263647511,9418706,4942314
(주)TCC스틸,002710,2003/12,289797303,8243366,5535685
(주)TCC스틸,002710,2004/12,361287927,5428132,14374974
(주)TCC스틸,002710,2005/12,347212301,5312091,3360673
(주)TCC스틸,002710,2006/12,283226170,-522384,6778310
(주)TCC스틸,002710,2007/12,297902140,8296271,952516
(주)TCC스틸,002710,2008/12,437461926,52331474,624601
(주)TCC스틸,002710,2009/12,363845213,15084342,12010743
(주)TCC스틸,002710,2010/12,442430416,15738571,10765811
(주)가비아,079940,2005/12,,,
(주)가비아,079940,2006/12,,,
(주)가비아,079940,2007/12,27270400,4871357,3022438
(주)가비아,079940,2008/12,32695039,5522735,2909428
(주)가비아,079940,2009/12,35644995,5631163,4441702
(주)가비아,079940,2010/12,40746190,6616833,5289526
(주)갑을,009840,2000/12,297559721,-4496371,-89776749
(주)갑을,009840,2001/12,564188666,25784350,-245440190
(주)갑을,009840,2002/12,,,
(주)강원랜드,035250,2001/12,,,
(주)강원랜드,035250,2002/12,,,
(주)강원랜드,035250,2003/12,,,
(주)강원랜드,035250,2004/12,,,
(주)강원랜드,035250,2005/12,,,
(주)강원랜드,035250,2006/12,,,
(주)강원랜드,035250,2007/12,,,
(주)강원랜드,035250,2008/12,,,
(주)강원랜드,035250,2009/12,1206658712,463657864,390000453
(주)강원랜드,035250,2010/12,1314090565,565893599,421119501
(주)강원에너지,114190,2009/11,,,
(주)강원에너지,114190,2010/11,,,
(주)갤럭시아에스엠,011420,2000/12,80300777,5240859,896380
(주)갤럭시아에스엠,011420,2001/12,65486715,5322353,1448570
(주)갤럭시아에스엠,011420,2002/12,,,
(주)갤럭시아에스엠,011420,2003/12,61846728,949280,-3250884
(주)갤럭시아에스엠,011420,2004/12,29759229,-12428870,64902
(주)갤럭시아에스엠,011420,2005/12,32424868,-5295401,-7377900
(주)갤럭시아에스엠,011420,2006/12,45284226,-792464,-7515189
(주)갤럭시아에스엠,011420,2007/12,,,
(주)갤럭시아에스엠,011420,2008/12,,,
(주)갤럭시아에스엠,011420,2009/12,,,
(주)갤럭시아에스엠,011420,2010/12,,,
(주)건영,012720,2000/12,,,
(주)건영,012720,2001/12,,,
(주)건영,012720,2002/12,,,
(주)경농,002100,2000/12,,,
(주)경농,002100,2001/12,155060559,14319548,4452297
(주)경농,002100,2002/12,,,
(주)경농,002100,2003/12,147676942,7315651,-10154203
(주)경농,002100,2004/12,158205259,10623569,2830649
(주)경농,002100,2005/12,166391481,16264764,7825511
(주)경농,002100,2006/12,160916154,19834868,12302971
(주)경농,002100,2007/12,,,
(주)경농,002100,2008/12,,,
(주)경농,002100,2009/12,,,
(주)경농,002100,2010/12,,,
(주)경동나비엔,009450,2000/12,170347574,12220750,6165417
(주)경동나비엔,009450,2001/12,187890222,16638429,11049674
(주)경동나비엔,009450,2002/12,210786227,22746125,17240604
(주)경동나비엔,009450,2003/12,199578442,10983489,9531985
(주)경동나비엔,009450,2004/12,183634309,6371831,5477098
(주)경동나비엔,009450,2005/12,179316818,2227870,4980877
(주)경동나비엔,009450,2006/12,189345349,1939172,6014772
(주)경동나비엔,009450,2007/12,184546497,1550811,7666607
(주)경동나비엔,009450,2008/12,213965135,5439693,7693123
(주)경동나비엔,009450,2009/12,253008512,6960289,3688748
(주)경동나비엔,009450,2010/12,307887854,12846979,7689537
(주)경동인베스트,012320,2000/12,,,
(주)경동인베스트,012320,2001/12,,,
(주)경동인베스트,012320,2002/12,,,
(주)경동인베스트,012320,2003/12,,,
(주)경동인베스트,012320,2004/12,,,
(주)경동인베스트,012320,2005/12,,,
(주)경동인베스트,012320,2006/12,560808607,22887447,18642320
(주)경동인베스트,012320,2007/12,653835322,23087018,21572475
(주)경동인베스트,012320,2008/12,958668447,39445566,27284195
(주)경동인베스트,012320,2009/12,992419369,22458180,23669974
(주)경동인베스트,012320,2010/12,1423496353,34302101,33295644
(주)경방,000050,2000/12,370385537,6776930,-421004
(주)경방,000050,2001/12,342763747,1924905,-4303079
(주)경방,000050,2002/12,330176753,54827,-599052
(주)경방,000050,2003/12,225173650,-251383,-7705195
(주)경방,000050,2004/12,210960273,-6116458,-9290612
(주)경방,000050,2005/12,198690434,4417889,1165322
(주)경방,000050,2006/12,199388703,-6240047,-22165448
(주)경방,000050,2007/12,186167521,-13833883,65608691
(주)경방,000050,2008/12,159559778,-6603770,-14835529
(주)경방,000050,2009/12,197278763,-16288929,-241834
(주)경방,000050,2010/12,333749209,38357716,18790754
(주)경윤하이드로에너지,019120,2000/12,,,
(주)경윤하이드로에너지,019120,2001/12,99461030,5615358,3792142
(주)경윤하이드로에너지,019120,2002/12,99504047,312882,2339624
(주)경윤하이드로에너지,019120,2003/12,93748161,-1110067,1122033
(주)경윤하이드로에너지,019120,2004/12,97239507,1317622,1374590
(주)경윤하이드로에너지,019120,2005/12,88026368,-767653,-1735126
(주)경윤하이드로에너지,019120,2006/12,94111304,376367,-3147074
(주)경윤하이드로에너지,019120,2007/12,80488922,458341,-2370104
(주)경윤하이드로에너지,019120,2008/12,26011791,-1442859,-6727760
(주)경윤하이드로에너지,019120,2009/12,10621807,-8118074,-9335728
(주)경윤하이드로에너지,019120,2010/12,,,
(주)경인양행,012610,2000/12,,,
(주)경인양행,012610,2001/12,,,
(주)경인양행,012610,2002/12,,,
(주)경인양행,012610,2003/12,,,
(주)경인양행,012610,2004/12,95832343,2407076,4301525
(주)경인양행,012610,2005/12,121277652,1576316,2662004
(주)경인양행,012610,2006/12,123483434,118253,1019469
(주)경인양행,012610,2007/12,135076471,3970512,4364667
(주)경인양행,012610,2008/12,239873963,43275195,17239950
(주)경인양행,012610,2009/12,267965327,26166680,14623313
(주)경인양행,012610,2010/12,281113744,11667251,9765114
(주)고영테크놀러지,098460,2008/12,,,
(주)고영테크놀러지,098460,2009/12,,,
(주)고영테크놀러지,098460,2010/12,,,
(주)고제,002540,2000/12,,,
(주)고제,002540,2001/12,,,
(주)고제,002540,2002/12,,,
(주)고제,002540,2003/12,,,
(주)고제,002540,2004/12,,,
(주)고제,002540,2005/12,,,
(주)고제,002540,2006/12,,,
(주)고제,002540,2007/12,,,
(주)고제,002540,2008/12,5363256,-5204889,-7730982
(주)고제,002540,2009/12,,,
(주)고합,004460,2000/12,1372885066,-84449861,-1273290440
(주)고합,004460,2001/12,1303542831,-47215936,-764917842
(주)골드앤에스,035290,2000/12,,,
(주)골드앤에스,035290,2001/12,,,
(주)골드앤에스,035290,2002/12,,,
(주)골드앤에스,035290,2003/12,,,
(주)골드앤에스,035290,2004/12,,,
(주)골드앤에스,035290,2005/12,,,
(주)골드앤에스,035290,2006/12,,,
(주)골드앤에스,035290,2007/12,,,
(주)골드앤에스,035290,2008/12,,,
(주)골드앤에스,035290,2009/12,,,
(주)골드앤에스,035290,2010/12,,,
(주)골드카운티,058900,2004/12,,,
(주)골드카운티,058900,2005/12,,,
