회사명,거래소코드,회계년도,상장일,상장폐지일,자산(*)(연결)(천원),자본(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원)
(주)SH에너지화학,002360,2002/06,1985/12/23,,109535892,34709009,89874723,9891494,7328499
(주)SH에너지화학,002360,2003/06,1985/12/23,,114869619,45252239,108874967,3867212,-1607801
(주)SH에너지화학,002360,2004/06,1985/12/23,,108735766,40385386,155996139,-319435,-3775598
(주)SH에너지화학,002360,2005/06,1985/12/23,,102021175,60524583,197037822,-956624,-3770340
(주)SH에너지화학,002360,2006/12,1985/12/23,,96577563,58377410,211750369,908020,-1639165
(주)SH에너지화학,002360,2007/12,1985/12/23,,120423763,64164020,233763567,3416792,2748712
(주)SH에너지화학,002360,2008/12,1985/12/23,,133437360,73630260,248526220,-14138266,-15592873
(주)SH에너지화학,002360,2009/12,1985/12/23,,99800780,69687160,136846039,5763512,4921009
(주)SH에너지화학,002360,2010/12,1985/12/23,,91483580,63288049,150630768,3373545,-3782166
(주)SIMPAC,009160,2000/12,1989/07/29,,,,,,
(주)SIMPAC,009160,2001/12,1989/07/29,,,,,,
(주)SIMPAC,009160,2002/12,1989/07/29,,,,,,
(주)SIMPAC,009160,2003/12,1989/07/29,,,,,,
(주)SIMPAC,009160,2004/12,1989/07/29,,,,,,
(주)SIMPAC,009160,2005/12,1989/07/29,,,,,,
(주)SIMPAC,009160,2006/12,1989/07/29,,,,,,
(주)SIMPAC,009160,2007/12,1989/07/29,,,,,,
(주)SIMPAC,009160,2008/12,1989/07/29,,,,,,
(주)SIMPAC,009160,2009/12,1989/07/29,,176980102,104179958,122569148,11711303,13692827
(주)SIMPAC,009160,2010/12,1989/07/29,,246348158,129611934,180845670,23092935,20122186
(주)SNT에너지,100840,2008/12,2008/02/22,,,,,,
(주)SNT에너지,100840,2009/12,2008/02/22,,,,,,
(주)SNT에너지,100840,2010/12,2008/02/22,,,,,,
(주)SNT홀딩스,036530,2000/12,2002/10/22,,,,,,
(주)SNT홀딩스,036530,2001/12,2002/10/22,,,,,,
(주)SNT홀딩스,036530,2002/12,2002/10/22,,,,,,
(주)SNT홀딩스,036530,2003/12,2002/10/22,,449980720,215149765,228108878,4758756,20622588
(주)SNT홀딩스,036530,2004/12,2002/10/22,,475823837,236948314,328227067,16925357,31747755
(주)SNT홀딩스,036530,2005/12,2002/10/22,,458425085,278934834,374579864,23321286,27993381
(주)SNT홀딩스,036530,2006/12,2002/10/22,,958911788,385789414,959964537,52182297,43192854
(주)SNT홀딩스,036530,2007/12,2002/10/22,,1233190401,597462861,1246833419,82012387,54042745
(주)SNT홀딩스,036530,2008/12,2002/10/22,,1828167385,1058706649,1090955909,64060698,59128996
(주)SNT홀딩스,036530,2009/12,2002/10/22,,2013928636,1126491185,1176421032,102007292,66370249
