회사명,거래소코드,회계년도,당기순이익(순손실),매출액(영업수익)(*),영업이익(손실)
(주)STX,011810,2001/12,5001727,303662102,20369519
(주)STX,011810,2002/12,38989719,376071165,16882697
(주)STX,011810,2003/12,6631562,466601980,14924126
(주)STX,011810,2004/12,16688385,330528799,12529691
(주)STX,011810,2005/12,23485108,658625389,28936564
(주)STX,011810,2006/12,29353518,943306093,51729604
(주)STX,011810,2007/12,82989184,1255199274,135009955
(주)STX,011810,2008/12,23258334,2418949621,73598182
(주)STX,011810,2009/12,-171798678,2225676108,-95402962
(주)STX,011810,2010/12,19813445,3242433891,85519125
(주)TCC스틸,002710,2000/12,3981031,196206208,8633644
(주)TCC스틸,002710,2001/12,4922809,188822363,11368705
(주)TCC스틸,002710,2002/12,4456673,199352686,6124306
(주)TCC스틸,002710,2003/12,8948155,218280676,10785076
(주)TCC스틸,002710,2004/12,15220991,260425068,9068169
(주)TCC스틸,002710,2005/12,7241898,269098614,10075732
(주)TCC스틸,002710,2006/12,6766625,253676783,-944412
(주)TCC스틸,002710,2007/12,1026395,267844422,7649547
(주)TCC스틸,002710,2008/12,592596,407634270,51982323
(주)TCC스틸,002710,2009/12,12010743,342201139,15756156
(주)TCC스틸,002710,2010/12,10765811,412110088,16019308
(주)가비아,079940,2005/12,1648518,13842437,1749970
(주)가비아,079940,2006/12,1994345,15590215,2264750
(주)가비아,079940,2007/12,2905168,17845205,2756838
(주)가비아,079940,2008/12,1904420,20479549,3900714
(주)가비아,079940,2009/12,3172344,22033524,3653308
(주)가비아,079940,2010/12,3769789,26065926,4104060
(주)갑을,009840,2000/12,-77533017,275612244,163147
(주)갑을,009840,2001/12,-345692561,400024999,18086788
(주)갑을,009840,2002/12,-244010633,236342997,-22128664
(주)강원랜드,035250,2001/12,218278162,462019837,302920519
(주)강원랜드,035250,2002/12,221018430,476061165,298339170
(주)강원랜드,035250,2003/12,229690326,677131541,331114954
(주)강원랜드,035250,2004/12,271233488,764113464,380556261
(주)강원랜드,035250,2005/12,299087521,846961875,416739551
(주)강원랜드,035250,2006/12,247935896,869495601,326154762
(주)강원랜드,035250,2007/12,292776710,1066507237,418174770
(주)강원랜드,035250,2008/12,309254549,1149282882,470761907
(주)강원랜드,035250,2009/12,390000453,1206658712,465031522
(주)강원랜드,035250,2010/12,421784663,1313682568,571210326
(주)강원에너지,114190,2009/11,2590392,38673260,4242047
(주)강원에너지,114190,2010/11,1716786,30619298,1779388
(주)갤럭시아에스엠,011420,2000/12,2087851,79091628,4906193
(주)갤럭시아에스엠,011420,2001/12,1381423,64024226,4775851
(주)갤럭시아에스엠,011420,2002/12,-4452841,62516316,-2271527
(주)갤럭시아에스엠,011420,2003/12,-3020238,63674045,930114
(주)갤럭시아에스엠,011420,2004/12,270229,30181913,-11788186
(주)갤럭시아에스엠,011420,2005/12,-6496876,32547613,-3002426
(주)갤럭시아에스엠,011420,2006/12,-7077008,46867530,595341
(주)갤럭시아에스엠,011420,2007/12,3564680,46163886,6472954
(주)갤럭시아에스엠,011420,2008/12,-3112483,54450391,6590527
(주)갤럭시아에스엠,011420,2009/12,1983450,47884151,2178651
(주)갤럭시아에스엠,011420,2010/12,441104,42704968,3765452
(주)건영,012720,2000/12,-207473421,191941011,-61922478
(주)건영,012720,2001/12,18519702,176576942,-36494804
(주)건영,012720,2002/12,-32294963,163767589,4613776
(주)경농,002100,2000/12,4477985,111430975,11265157
(주)경농,002100,2001/12,5939117,113717106,11332660
(주)경농,002100,2002/12,6061997,110611997,10944925
(주)경농,002100,2003/12,498224,106388427,5509633
(주)경농,002100,2004/12,4602613,112605662,9901981
(주)경농,002100,2005/12,8980291,118473763,16072105
(주)경농,002100,2006/12,13294917,122144956,19117884
(주)경농,002100,2007/12,15008448,128992027,19764756
(주)경농,002100,2008/12,11567598,140801593,13749851
(주)경농,002100,2009/12,16775692,149831874,16796762
(주)경농,002100,2010/12,9299526,143042882,14046329
(주)경동나비엔,009450,2000/12,6136025,164245670,12659848
(주)경동나비엔,009450,2001/12,10888158,179571704,16856651
(주)경동나비엔,009450,2002/12,17012777,201823720,19415323
(주)경동나비엔,009450,2003/12,9315588,190164154,7169754
(주)경동나비엔,009450,2004/12,5420602,173127406,4675614
(주)경동나비엔,009450,2005/12,4974162,171004148,2477156
(주)경동나비엔,009450,2006/12,5985758,182131387,2334473
(주)경동나비엔,009450,2007/12,7646824,176294384,1463089
(주)경동나비엔,009450,2008/12,7738185,204875901,4803658
(주)경동나비엔,009450,2009/12,3695664,233314593,6368807
(주)경동나비엔,009450,2010/12,7678759,278277379,8190791
(주)경동인베스트,012320,2000/12,12971003,232459868,19063668
(주)경동인베스트,012320,2001/12,15017543,302638845,14990165
(주)경동인베스트,012320,2002/12,14881549,320227743,20384423
(주)경동인베스트,012320,2003/12,15600248,364165552,18404515
(주)경동인베스트,012320,2004/12,14817137,371421230,15761343
(주)경동인베스트,012320,2005/12,16480818,454461201,18282634
(주)경동인베스트,012320,2006/12,18642320,554604258,20965374
(주)경동인베스트,012320,2007/12,21408650,613592335,20816794
(주)경동인베스트,012320,2008/12,27820671,890353583,34309321
(주)경동인베스트,012320,2009/12,24168378,934033440,25555182
(주)경동인베스트,012320,2010/12,39418047,1284023918,40348818
(주)경방,000050,2000/12,2345060,172513153,4131929
(주)경방,000050,2001/12,-312827,178380576,2674343
(주)경방,000050,2002/12,3529613,191323101,6794609
