회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,매출액증가율
(주)CMG제약,58820,2001/12,,,
(주)CMG제약,58820,2002/12,-1398.1733156480632,-2141.771785096576,66.81054750304877
(주)CMG제약,58820,2003/12,-76.05317133606094,-2145.142359567887,-34.11684099712186
(주)CMG제약,58820,2004/12,210.51982648746522,-3613.1692804469876,-24.758391432332694
(주)CMG제약,58820,2005/12,-29.71252028487254,-33.95630111684448,-68.00486579883166
(주)CMG제약,58820,2006/12,-40.68226076887796,33.330492602306386,-20.577984614340902
(주)CMG제약,58820,2007/12,12.755496966316821,-73.90224093495922,-45.98253184483966
(주)CMG제약,58820,2008/12,183.70128439376884,423.4752802500399,501.80559909441644
(주)CMG제약,58820,2009/12,128.4923523973055,290.1061993890686,-6.119579853967001
(주)CMG제약,58820,2010/12,-13.838813870457034,-57.92129473345548,11.861801472244071
(주)DB하이텍,990,2000/12,,,
(주)DB하이텍,990,2001/12,18.110107374121288,-49.18103519320691,3.2862163686925814
(주)DB하이텍,990,2002/12,-8.144871882066763,144.32131859417498,-7.282874158803272
(주)DB하이텍,990,2003/12,-25.72580962014735,-25.023377724958884,0.6768468958290879
(주)DB하이텍,990,2004/12,110.58720919634695,210.2590999781786,34.37249071378808
(주)DB하이텍,990,2005/12,-62.265772265811016,-72.27224618077298,7.85139930757643
(주)DB하이텍,990,2006/12,-28.154280496896472,-79.71509902974901,-0.6740162677054128
(주)DB하이텍,990,2007/12,-261.77565721841256,-2453.6461730435,27.823573015235965
(주)DB하이텍,990,2008/12,-213.0902728701706,458.4714158358838,28.5744482118125
(주)DB하이텍,990,2009/12,-502.631159702142,-38.73281838110421,-34.25821544276981
(주)DB하이텍,990,2010/12,105.04177660639267,-61.29204788465161,-43.310613395065204
(주)ES큐브,50120,2002/06,,,
(주)ES큐브,50120,2003/06,-55.82655589637015,-28.222419812391987,-0.016818801146716713
(주)ES큐브,50120,2004/06,-91.50482760570549,-90.06172376069843,-7.693522575627508
(주)ES큐브,50120,2005/12,-7041.947615402536,-14108.792661540536,-8.787789136822283
(주)ES큐브,50120,2006/12,-37.34832900016157,-35.70427237407891,-3.113445262421061
(주)ES큐브,50120,2007/12,66.63315014026436,-88.19789933397534,-17.510091386328593
(주)ES큐브,50120,2008/12,24.099877295655016,726.2039699600771,10.241769909310925
(주)ES큐브,50120,2009/12,-388.1964188591112,-186.87081849935515,117.58408195319039
(주)ES큐브,50120,2010/12,-24.887222856167817,-160.03574831966085,22.585879322701455
(주)HJ중공업,97230,2007/12,,,
(주)HJ중공업,97230,2008/12,963.2443114120484,121.7614756406646,179.2399124332911
(주)HJ중공업,97230,2009/12,6.703692264802267,-18.022794374424585,8.129144108075547
(주)HJ중공업,97230,2010/12,-44.013319672131146,-199.6901866625358,-13.304304771097748
(주)LG데이콤,15940,2000/12,,,
(주)LG데이콤,15940,2001/12,-112.32040325970564,-36.05326561056322,3.8383167504226274
(주)LG데이콤,15940,2002/12,23.821035080363252,-384.95498179213337,8.844350536033367
(주)LG데이콤,15940,2003/12,56.35883432071835,-1115.2522298994331,34.65234872393855
(주)LG데이콤,15940,2004/12,60.63935825693565,-384.2705418662552,5.499211887432084
(주)LG데이콤,15940,2005/12,-19.74380995351615,12.079103471422172,4.100497776205961
(주)LG데이콤,15940,2006/12,-26.20362564161674,44.50723523905973,9.342243485446083
(주)LG데이콤,15940,2007/12,63.278774592659936,13.262535140059711,16.651157801882636
(주)LG데이콤,15940,2008/12,12.451532833343647,-16.47632637643399,17.545576954252105
(주)LG파워콤,45820,2008/12,,,
(주)MH에탄올,23150,2000/12,,,
(주)MH에탄올,23150,2001/12,49.53753255160077,-0.4056048699742406,11.860440545440609
(주)MH에탄올,23150,2002/12,26.007647860059755,43.846155943739404,11.911445747491731
(주)MH에탄올,23150,2003/12,63.94761320458579,227.99633375701757,11.006205783781185
(주)MH에탄올,23150,2004/12,19.634296660734446,43.22294444413941,12.240833336513953
(주)MH에탄올,23150,2005/12,-33.20935423997536,-24.655838562666347,8.254678818533037
(주)MH에탄올,23150,2006/12,-11.654980624244057,-50.06810044480865,8.543468003324001
(주)MH에탄올,23150,2007/12,64.40968158500753,86.02484671921191,2.8113650188501498
(주)MH에탄올,23150,2008/12,-123.42036290475407,-286.3694418096427,22.935230107221
(주)MH에탄올,23150,2009/12,-134.55736442085288,-590.8165698084956,30.591255165654736
(주)MH에탄올,23150,2010/12,-59.34535137164338,-191.72116995154306,-16.079626128427744
(주)SH에너지화학,2360,2000/06,,,
(주)SH에너지화학,2360,2001/06,-14.782632925881606,-187.9736526548351,0.507855098454306
(주)SH에너지화학,2360,2002/06,81.70594829014627,153.54074884914593,7.105185028337646
(주)SH에너지화학,2360,2003/06,-60.90366126694309,-121.93902189247758,21.140809524386516
(주)SH에너지화학,2360,2004/06,-108.26008504317839,134.82993231127486,43.28007924907109
(주)SH에너지화학,2360,2005/06,199.47375835459482,-0.1392627075234175,26.309422312048376
(주)SH에너지화학,2360,2006/12,-205.35274553423935,-56.524743126614574,7.46686440738266
(주)SH에너지화학,2360,2007/12,276.29039007951366,-159.63393036447616,10.395825095350837
(주)SH에너지화학,2360,2008/12,-513.7877283721105,-667.2792566118239,6.3152069372726505
(주)SH에너지화학,2360,2009/12,-345.30643815784543,-416.8633302641796,-44.93698129718466
(주)SH에너지화학,2360,2010/12,-41.46719916606402,-176.85753064056578,10.073166239031588
(주)SIMPAC,9160,2000/12,,,
(주)SIMPAC,9160,2001/12,-92.466294119391,-452.6807226251397,-31.299064362758028
(주)SIMPAC,9160,2002/12,648.4122272839448,-4809.0431717421325,21.27811116271657
(주)SIMPAC,9160,2003/12,62.9816387302538,3120.3630351042952,45.42049533214635
(주)SIMPAC,9160,2004/12,4.822199385598418,53.36966156405107,8.047299041760594
