회사명,거래소코드,회계년도,총자산증가율,자기자본증가율
(주)CMG제약,58820,2012/12,109.14711916756656,75.1705047435022
(주)CMG제약,58820,2013/12,-2.093351662336132,55.10040697123218
(주)CMG제약,58820,2014/12,3.8555968181962967,0.010945505323040273
(주)CMG제약,58820,2015/12,-2.644307328577028,-4.480892908554077
(주)CMG제약,58820,2016/12,96.31050606867822,116.01016286320936
(주)CMG제약,58820,2017/12,-1.2720451358983877,-3.1289585598555445
(주)CMG제약,58820,2018/12,4.391537931646981,6.164569375083536
(주)CMG제약,58820,2019/12,68.07428544250965,73.25936202363633
(주)CMG제약,58820,2020/12,1.6190000741040644,0.5399257718280985
(주)DB하이텍,990,2012/12,-3.443480181791413,-5.573024387245453
(주)DB하이텍,990,2013/12,-8.582402696551098,-29.611055543778615
(주)DB하이텍,990,2014/12,-6.945933800441499,-41.05066857186069
(주)DB하이텍,990,2015/12,-0.02365006859600231,110.48196886741604
(주)DB하이텍,990,2016/12,0.2178310767499219,34.58265436463749
(주)DB하이텍,990,2017/12,0.7258037033691955,33.30648259214366
(주)DB하이텍,990,2018/12,7.302486787272512,22.50856676743339
(주)DB하이텍,990,2019/12,2.0961332084877866,15.447798580598457
(주)DB하이텍,990,2020/12,8.236957144451559,23.258142126047076
(주)ES큐브,50120,2012/12,-16.57509724024169,1.564117767416309
(주)ES큐브,50120,2013/12,1.8493567430381712,6.304011815849705
(주)ES큐브,50120,2014/12,20.099174388974163,17.123514718529307
(주)ES큐브,50120,2015/12,-1.7514994567567106,0.053133214412780856
(주)ES큐브,50120,2016/12,89.07604564378316,44.39009506900287
(주)ES큐브,50120,2017/12,0.6917772902078309,1.563205887202658
(주)ES큐브,50120,2018/12,6.174930033280755,-2.840375748040839
(주)ES큐브,50120,2019/12,312.6611959047271,4.650133959527994
(주)ES큐브,50120,2020/12,54.08478724872655,-6.132879872032005
(주)HJ중공업,97230,2012/12,-6.417614556864885,-8.106283960986648
(주)HJ중공업,97230,2013/12,1.492552952555112,-4.46034895623241
(주)HJ중공업,97230,2014/12,-3.1884320790426517,-4.022091546176383
(주)HJ중공업,97230,2015/12,-8.587675595074343,-12.999181222013432
(주)HJ중공업,97230,2016/12,-11.12786803315233,-34.590808489619604
(주)HJ중공업,97230,2017/12,-19.971771898371223,-35.52178716530586
(주)HJ중공업,97230,2018/12,-35.01677698789181,-222.69377232769344
(주)HJ중공업,97230,2019/12,-9.635501642510663,134.59458390874715
(주)HJ중공업,97230,2020/12,-11.187941812517256,30.61666816330196
(주)MH에탄올,23150,2012/12,0.13334788698678282,-7.005543678398684
(주)MH에탄올,23150,2013/12,-3.4883719459285487,15.643992847569244
(주)MH에탄올,23150,2014/12,-34.05073231080563,15.044304932516514
(주)MH에탄올,23150,2015/12,-7.644589124672345,9.652951927326997
(주)MH에탄올,23150,2016/12,-8.426217300074693,9.84296497289673
(주)MH에탄올,23150,2017/12,591.4326057293624,68.03111037148743
(주)MH에탄올,23150,2018/12,-11.996191907568267,-14.275786376718614
(주)MH에탄올,23150,2019/12,2.5664481736837796,-13.31695475329368
(주)MH에탄올,23150,2020/12,-0.39760500201593907,1.3054919381415657
(주)SH에너지화학,2360,2012/12,-0.9747519690912316,-0.5535118413773292
(주)SH에너지화학,2360,2013/12,6.556925846419044,7.2716578216291365
(주)SH에너지화학,2360,2014/12,0.22848981523953468,21.03194923052283
(주)SH에너지화학,2360,2015/12,4.315747044824887,8.795430360770434
(주)SH에너지화학,2360,2016/12,7.7631073752081505,13.57684568357707
(주)SH에너지화학,2360,2017/12,0.6614494658970077,3.4629873600243224
(주)SH에너지화학,2360,2018/12,-2.2962409536109325,-2.1380868842263716
(주)SH에너지화학,2360,2019/12,0.8013636005189216,-6.064011679491241
(주)SH에너지화학,2360,2020/12,-4.9096115966710006,-9.082411292705768
(주)SIMPAC,9160,2012/12,2.5045656943777233,11.198970572430115
(주)SIMPAC,9160,2013/12,13.594312631986949,11.162561871825286
(주)SIMPAC,9160,2014/12,5.512201318123201,4.929441837257082
(주)SIMPAC,9160,2015/12,10.706980411370676,5.879098315880089
(주)SIMPAC,9160,2016/12,-1.1749252711076343,3.6243124214064815
(주)SIMPAC,9160,2017/12,-8.784458111767206,0.17035850238750222
(주)SIMPAC,9160,2018/12,78.86293087224813,80.6419109058362
(주)SIMPAC,9160,2019/12,-0.3820998710087358,1.4165862947702925
(주)SIMPAC,9160,2020/12,8.559551972525488,5.165664829956272
(주)SNT에너지,100840,2012/12,5.891318050281977,14.141362855139514
(주)SNT에너지,100840,2013/12,6.445735982987523,8.105755923545436
(주)SNT에너지,100840,2014/12,-2.2983738148831496,4.818130775692101
(주)SNT에너지,100840,2015/12,3.837053075142411,11.403952359074156
(주)SNT에너지,100840,2016/12,10.071677165805362,-0.6916043309760769
(주)SNT에너지,100840,2017/12,-13.726965568724214,1.7483753570345064
(주)SNT에너지,100840,2018/12,-6.419346350878817,-1.0866756726146118
(주)SNT에너지,100840,2019/12,18.828218860145444,5.914314939663776
(주)SNT에너지,100840,2020/12,0.43558971070844593,-3.7485266165924167
(주)SNT홀딩스,36530,2012/12,-2.3495714840747377,0.5351141089331435
(주)SNT홀딩스,36530,2013/12,3.579555216279014,4.274764452929632
(주)SNT홀딩스,36530,2014/12,-5.108346682320032,-1.333292014864986
(주)SNT홀딩스,36530,2015/12,6.370655606365025,12.773076988034118
(주)SNT홀딩스,36530,2016/12,1.8838753066840261,0.10747235422093836
(주)SNT홀딩스,36530,2017/12,-2.8958515871857724,-0.7576924022399636
