,회사명,거래소코드,회계년도,영업이익,당기순이익,매출액
72,(주)SIMPAC,9160,2006/12,11950091.0,8664647.0,107092299.0
73,(주)SIMPAC,9160,2007/12,11702591.0,12259293.0,110683524.0
74,(주)SIMPAC,9160,2008/12,8917045.0,25508618.0,131802333.0
75,(주)SIMPAC,9160,2009/12,11711303.0,13692827.0,122569148.0
76,(주)SIMPAC,9160,2010/12,23092935.0,20122186.0,180845670.0
77,(주)SNT에너지,100840,2008/12,37839411.0,30418805.0,200451563.0
78,(주)SNT에너지,100840,2009/12,44029822.0,35404449.0,182779061.0
79,(주)SNT에너지,100840,2010/12,7946774.0,2774348.0,213830405.0
80,(주)SNT홀딩스,36530,2002/12,26243726.0,20961277.0,81943584.0
81,(주)SNT홀딩스,36530,2003/12,4758756.0,20622588.0,228108878.0
82,(주)SNT홀딩스,36530,2004/12,16925357.0,31747755.0,328227067.0
83,(주)SNT홀딩스,36530,2005/12,23321286.0,27993381.0,374579864.0
84,(주)SNT홀딩스,36530,2006/12,52182297.0,43192854.0,959964537.0
85,(주)SNT홀딩스,36530,2007/12,82012387.0,54042745.0,1246833419.0
86,(주)SNT홀딩스,36530,2008/12,64060698.0,59128996.0,1090955909.0
87,(주)SNT홀딩스,36530,2009/12,102007292.0,66370249.0,1176421032.0
88,(주)SNT홀딩스,36530,2010/12,120395062.0,94564129.0,1498605411.0
89,(주)STX,11810,2000/12,37802633.0,2769474.0,293286301.0
90,(주)STX,11810,2001/12,39440092.0,5286523.0,485036506.0
91,(주)STX,11810,2002/12,82643408.0,15342393.0,976013576.0
92,(주)STX,11810,2003/12,80066847.0,-2743197.0,1229648691.0
93,(주)STX,11810,2004/12,-28802107.0,49305538.0,2123173148.0
94,(주)STX,11810,2005/12,121637388.0,131735949.0,4255319751.0
95,(주)STX,11810,2006/12,212154726.0,132608735.0,4810543607.0
96,(주)STX,11810,2007/12,642149075.0,463901895.0,8346308915.0
97,(주)STX,11810,2008/12,842889640.0,363078281.0,16265269019.0
98,(주)STX,11810,2009/12,-191953764.0,-500413506.0,16994193759.0
