회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,매출액증가율
(주)CMG제약,58820,2011/12,,,
(주)CMG제약,58820,2012/12,-756.8194064187243,341.57186786025426,-8.429134465063184
(주)CMG제약,58820,2013/12,-631.5011690363349,-2348.675303277388,25.51000778880161
(주)CMG제약,58820,2014/12,-44.098325434439175,-46.641074208001186,11.520575782736517
(주)CMG제약,58820,2015/12,-681.5148240422136,-2409.6140825998646,18.851968637935805
(주)CMG제약,58820,2016/12,-248.61554479466452,-311.2449541204761,21.921286282684193
(주)CMG제약,58820,2017/12,-9.94630660758641,64.06674016650318,25.980614091824872
(주)CMG제약,58820,2018/12,64.75096031263814,113.94136867566098,20.053150565726913
(주)CMG제약,58820,2019/12,1.400176024799246,-49.692268425559924,17.563295473747385
(주)CMG제약,58820,2020/12,-30.010630722942928,-92.95367000996664,9.957255281449854
(주)DB하이텍,990,2011/12,,,
(주)DB하이텍,990,2012/12,-63.797287925936516,-68.00162219031549,6.984626647482998
(주)DB하이텍,990,2013/12,-38.47881824887555,164.97535298292178,-16.424624119026905
(주)DB하이텍,990,2014/12,-121.09429255082193,-7.27051051523161,14.980433862643295
(주)DB하이텍,990,2015/12,174.29353545222142,-160.76446553705927,17.416520876032333
(주)DB하이텍,990,2016/12,37.97676644369237,-30.291421629880034,15.983497487658124
(주)DB하이텍,990,2017/12,-16.953611865548694,24.711430942613454,-12.08091862461475
(주)DB하이텍,990,2018/12,-21.091511272223933,-21.190199356226525,-1.5386239902546885
(주)DB하이텍,990,2019/12,60.445300649792536,20.509612666622196,20.63971212752701
(주)DB하이텍,990,2020/12,32.01626812513289,58.66813073752527,15.915373943291714
(주)ES큐브,50120,2011/12,,,
(주)ES큐브,50120,2012/12,-4185.927443276582,-92.51077570480427,4.854247527236442
(주)ES큐브,50120,2013/12,-1403.615523243449,4481.062647543539,4.692085370342688
(주)ES큐브,50120,2014/12,-780.7008007481443,-96.26025543406594,-24.126990974900732
(주)ES큐브,50120,2015/12,-2473.2690396867147,274.8984821476449,-5.188114570850319
(주)ES큐브,50120,2016/12,-287.89213161619796,-110.71052395921146,-18.654871909728204
(주)ES큐브,50120,2017/12,4.048002791247366,-91.93203097323914,4.247404845552056
(주)ES큐브,50120,2018/12,-153.86338569370076,-452.2282031733245,-5.545508375055258
(주)ES큐브,50120,2019/12,116.08523947490316,124.90947423997731,29.45408101551533
(주)ES큐브,50120,2020/12,-125.36907759101696,83.70571570601089,84.57029348631502
(주)HJ중공업,97230,2011/12,,,
(주)HJ중공업,97230,2012/12,-50.99375775649694,-45.094923648369786,-11.834000288431708
(주)HJ중공업,97230,2013/12,-231.48505121517934,257.41158341789753,-0.7836602637802488
(주)HJ중공업,97230,2014/12,108.39394026504155,57.63513904297214,-0.35645648411977665
(주)HJ중공업,97230,2015/12,-45.25753855491489,-12.970171207860954,23.61393867854344
(주)HJ중공업,97230,2016/12,-0.06425601612700013,28.17706237424547,-9.700035917499527
(주)HJ중공업,97230,2017/12,47.11859705745155,-16.88404107090532,-12.830509396357478
(주)HJ중공업,97230,2018/12,-289.2032557234581,361.7800689263179,-30.764616602930943
(주)HJ중공업,97230,2019/12,35.93456125559375,-519.2609310544176,-4.070867658223338
(주)HJ중공업,97230,2020/12,-38.41887427092403,-74.41086458785834,4.1175109025259236
(주)MH에탄올,23150,2011/12,,,
(주)MH에탄올,23150,2012/12,803.7149942479007,-1616.2776778288542,33.45531496270897
(주)MH에탄올,23150,2013/12,-44.79294932455423,2345.717526942711,4.068573283356904
(주)MH에탄올,23150,2014/12,190.55161224836291,-102.89109611319145,-21.247797443747768
(주)MH에탄올,23150,2015/12,26.840503057170444,-102.61220763189436,2.863033378333943
(주)MH에탄올,23150,2016/12,7.054292128939986,4.706390988704513,-2.955527329574725
(주)MH에탄올,23150,2017/12,-31.645733251724117,-47.10576862159416,6.299170552809706
(주)MH에탄올,23150,2018/12,-84.86820585333147,-379.32307475183774,40.05363551032404
(주)MH에탄올,23150,2019/12,537.4432097599422,-37.24113361545854,11.104310968880196
(주)MH에탄올,23150,2020/12,101.58021934313548,-298.5904418901432,17.02028807306568
(주)SH에너지화학,2360,2011/12,,,
(주)SH에너지화학,2360,2012/12,-47.59504828146409,-88.29221109489764,11.974382953493082
(주)SH에너지화학,2360,2013/12,194.25953103357298,2084.863460024472,19.57313536241399
(주)SH에너지화학,2360,2014/12,231.12010207609416,263.21933841443825,-0.43103852337784115
(주)SH에너지화학,2360,2015/12,7.88959823865345,-24.75599487242314,-6.266970193357195
(주)SH에너지화학,2360,2016/12,5.015146943323962,43.192966635392054,0.9038535720926246
(주)SH에너지화학,2360,2017/12,-41.15662482635691,-45.20426063119402,-13.865923583060821
(주)SH에너지화학,2360,2018/12,-85.1877134405345,-79.41534298263488,-2.4006912118812203
(주)SH에너지화학,2360,2019/12,-249.05384903571198,-251.95695255142434,-23.282395590828752
(주)SH에너지화학,2360,2020/12,150.76557074638916,124.76571533235754,-33.55871413781395
(주)SIMPAC,9160,2011/12,,,
(주)SIMPAC,9160,2012/12,-7.88060322383992,-22.78434229653156,4.637518480949174
(주)SIMPAC,9160,2013/12,-6.319362055365435,3.9289933513970032,-8.698414965892603
(주)SIMPAC,9160,2014/12,-26.515345825853075,-28.594055677434326,27.89831740141783
(주)SIMPAC,9160,2015/12,22.483874315963075,14.935762681086132,2.4228459611504616
(주)SIMPAC,9160,2016/12,10.94655433627492,-1.6178142055309148,-0.9104366351674329
(주)SIMPAC,9160,2017/12,-50.36145423919146,-20.31744870485953,-13.643904953499133
