회사명,거래소코드,회계년도,상장일,상장폐지일,자산,자본,영업손익,당기순이익,매출액
(주)LG파워콤,45820,2003/12,2008/11/27,2010/01/15,1408535911.0,828479972.0,131614443.0,30639632.0,526823885.0
(주)LG파워콤,45820,2004/12,2008/11/27,2010/01/15,1371562572.0,900597487.0,130059808.0,73728080.0,571229190.0
(주)LG파워콤,45820,2005/12,2008/11/27,2010/01/15,1567328833.0,945216800.0,69134946.0,46074560.0,638429765.0
(주)LG파워콤,45820,2006/12,2008/11/27,2010/01/15,1483117180.0,885791965.0,-55332889.0,-57944769.0,855912539.0
(주)LG파워콤,45820,2007/12,2008/11/27,2010/01/15,1663439088.0,911368731.0,44770559.0,25521577.0,1109617860.0
(주)LG파워콤,45820,2008/12,2008/11/27,2010/01/15,1937073801.0,992090781.0,88658398.0,5991092.0,1273768575.0
(주)MH에탄올,23150,2000/12,1996/12/24,,41556095.0,25858982.0,2023710.0,736431.0,21305271.0
(주)MH에탄올,23150,2001/12,1996/12/24,,46365419.0,27528427.0,3026206.0,733444.0,23832170.0
(주)MH에탄올,23150,2002/12,1996/12/24,,40621872.0,28041667.0,3813251.0,1055031.0,26670926.0
(주)MH에탄올,23150,2003/12,1996/12/24,,45918577.0,31704199.0,6251734.0,3460463.0,29606383.0
(주)MH에탄올,23150,2004/12,1996/12/24,,50811625.0,35255935.0,7479218.0,4956177.0,33230451.0
(주)MH에탄올,23150,2005/12,1996/12/24,,49187808.0,33977930.0,4995418.0,3734190.0,35973518.0
(주)MH에탄올,23150,2006/12,1996/12/24,,56528651.0,34403146.0,4413203.0,1864552.0,39046904.0
(주)MH에탄올,23150,2007/12,1996/12/24,,62818445.0,36597472.0,7255733.0,3468530.0,40144655.0
(주)MH에탄올,23150,2008/12,1996/12/24,,112504999.0,34442994.0,-1699319.0,-6464280.0,49351924.0
(주)MH에탄올,23150,2009/12,1996/12/24,,131482211.0,45096297.0,4917386.0,1317046.0,64449297.0
(주)MH에탄올,23150,2010/12,1996/12/24,,128267097.0,42569735.0,1999146.0,-1208010.0,54086091.0
(주)SH에너지화학,2360,2000/06,1985/12/23,,105023992.0,10726652.0,6387996.0,-2542845.0,83488578.0
(주)SH에너지화학,2360,2001/06,1985/12/23,,109169173.0,25121241.0,5443682.0,2890462.0,83912579.0
(주)SH에너지화학,2360,2002/06,1985/12/23,,109535892.0,34709009.0,9891494.0,7328499.0,89874723.0
(주)SH에너지화학,2360,2003/06,1985/12/23,,114869619.0,45252239.0,3867212.0,-1607801.0,108874967.0
(주)SH에너지화학,2360,2004/06,1985/12/23,,108735766.0,40385386.0,-319435.0,-3775598.0,155996139.0
(주)SH에너지화학,2360,2005/06,1985/12/23,,102021175.0,60524583.0,-956624.0,-3770340.0,197037822.0
(주)SH에너지화학,2360,2006/12,1985/12/23,,96577563.0,58377410.0,908020.0,-1639165.0,211750369.0
(주)SH에너지화학,2360,2007/12,1985/12/23,,120423763.0,64164020.0,3416792.0,2748712.0,233763567.0
(주)SH에너지화학,2360,2008/12,1985/12/23,,133437360.0,73630260.0,-14138266.0,-15592873.0,248526220.0
(주)SH에너지화학,2360,2009/12,1985/12/23,,99800780.0,69687160.0,5763512.0,4921009.0,136846039.0
(주)SH에너지화학,2360,2010/12,1985/12/23,,91483580.0,63288049.0,3373545.0,-3782166.0,150630768.0
(주)SIMPAC,9160,2000/12,1989/07/29,,75648581.0,29309043.0,5970249.0,1469697.0,63886619.0
(주)SIMPAC,9160,2001/12,1989/07/29,,81803602.0,29381206.0,449781.0,-5183338.0,43890705.0
(주)SIMPAC,9160,2002/12,1989/07/29,,77824530.0,29486375.0,3366216.0,110072.0,53229818.0
(주)SIMPAC,9160,2003/12,1989/07/29,,85705262.0,33055055.0,5486314.0,3544718.0,77407065.0
(주)SIMPAC,9160,2004/12,1989/07/29,,81538325.0,36810489.0,5750875.0,5436522.0,83636243.0
(주)SIMPAC,9160,2005/12,1989/07/29,,98351320.0,44921444.0,7198057.0,7576339.0,89810087.0
(주)SIMPAC,9160,2006/12,1989/07/29,,103516327.0,52418859.0,11950091.0,8664647.0,107092299.0
(주)SIMPAC,9160,2007/12,1989/07/29,,125936098.0,68929199.0,11702591.0,12259293.0,110683524.0
(주)SIMPAC,9160,2008/12,1989/07/29,,165451607.0,92346316.0,8917045.0,25508618.0,131802333.0
(주)SIMPAC,9160,2009/12,1989/07/29,,176980102.0,104179958.0,11711303.0,13692827.0,122569148.0
(주)SIMPAC,9160,2010/12,1989/07/29,,246348158.0,129611934.0,23092935.0,20122186.0,180845670.0
(주)SNT에너지,100840,2008/12,2008/02/22,,217486444.0,145780749.0,37839411.0,30418805.0,200451563.0
(주)SNT에너지,100840,2009/12,2008/02/22,,296434329.0,172260354.0,44029822.0,35404449.0,182779061.0
(주)SNT에너지,100840,2010/12,2008/02/22,,252522573.0,166699899.0,7946774.0,2774348.0,213830405.0
(주)SNT홀딩스,36530,2000/12,2002/10/22,,52505701.0,36799967.0,18850596.0,15007510.0,69339624.0
(주)SNT홀딩스,36530,2001/12,2002/10/22,,84148126.0,59360195.0,29401853.0,24898838.0,97283283.0
(주)SNT홀딩스,36530,2002/12,2002/10/22,,107286764.0,77919452.0,26243726.0,20961277.0,81943584.0
(주)SNT홀딩스,36530,2003/12,2002/10/22,,449980720.0,215149765.0,4758756.0,20622588.0,228108878.0
(주)SNT홀딩스,36530,2004/12,2002/10/22,,475823837.0,236948314.0,16925357.0,31747755.0,328227067.0
(주)SNT홀딩스,36530,2005/12,2002/10/22,,458425085.0,278934834.0,23321286.0,27993381.0,374579864.0
(주)SNT홀딩스,36530,2006/12,2002/10/22,,958911788.0,385789414.0,52182297.0,43192854.0,959964537.0
(주)SNT홀딩스,36530,2007/12,2002/10/22,,1233190401.0,597462861.0,82012387.0,54042745.0,1246833419.0
(주)SNT홀딩스,36530,2008/12,2002/10/22,,1828167385.0,1058706649.0,64060698.0,59128996.0,1090955909.0
(주)SNT홀딩스,36530,2009/12,2002/10/22,,2013928636.0,1126491185.0,102007292.0,66370249.0,1176421032.0
(주)SNT홀딩스,36530,2010/12,2002/10/22,,1987938347.0,1218499863.0,120395062.0,94564129.0,1498605411.0
(주)STX,11810,2000/12,1990/09/12,,478648508.0,109686586.0,37802633.0,2769474.0,293286301.0
(주)STX,11810,2001/12,1990/09/12,,1085467691.0,119356493.0,39440092.0,5286523.0,485036506.0
(주)STX,11810,2002/12,1990/09/12,,1382112917.0,269294723.0,82643408.0,15342393.0,976013576.0
(주)STX,11810,2003/12,1990/09/12,,1598451454.0,372132892.0,80066847.0,-2743197.0,1229648691.0
(주)STX,11810,2004/12,1990/09/12,,3300074094.0,551513534.0,-28802107.0,49305538.0,2123173148.0
(주)STX,11810,2005/12,1990/09/12,,3299630751.0,920040794.0,121637388.0,131735949.0,4255319751.0
(주)STX,11810,2006/12,1990/09/12,,3963939573.0,1105928872.0,212154726.0,132608735.0,4810543607.0
(주)STX,11810,2007/12,1990/09/12,,7967403718.0,2138810748.0,642149075.0,463901895.0,8346308915.0
(주)STX,11810,2008/12,1990/09/12,,23269857165.0,4041815714.0,842889640.0,363078281.0,16265269019.0
(주)STX,11810,2009/12,1990/09/12,,22988075337.0,3514601933.0,-191953764.0,-500413506.0,16994193759.0
(주)STX,11810,2010/12,1990/09/12,,23809537565.0,4264032437.0,427858780.0,25672189.0,19607371235.0
(주)TCC스틸,2710,2000/12,1984/12/21,,246067682.0,103812921.0,14307912.0,5625114.0,244227642.0
(주)TCC스틸,2710,2001/12,1984/12/21,,248341448.0,116338500.0,14299893.0,2168929.0,254601800.0
(주)TCC스틸,2710,2002/12,1984/12/21,,259011407.0,119490451.0,9418706.0,4942314.0,263647511.0
(주)TCC스틸,2710,2003/12,1984/12/21,,282272934.0,125534924.0,8243366.0,5535685.0,289797303.0
(주)TCC스틸,2710,2004/12,1984/12/21,,302987339.0,135115576.0,5428132.0,14374974.0,361287927.0
(주)TCC스틸,2710,2005/12,1984/12/21,,319579095.0,141624638.0,5312091.0,3360673.0,347212301.0
(주)TCC스틸,2710,2006/12,1984/12/21,,270084588.0,137171317.0,-522384.0,6778310.0,283226170.0
(주)TCC스틸,2710,2007/12,1984/12/21,,292219840.0,140222048.0,8296271.0,952516.0,297902140.0
(주)TCC스틸,2710,2008/12,1984/12/21,,300022317.0,139444828.0,52331474.0,624601.0,437461926.0
(주)TCC스틸,2710,2009/12,1984/12/21,,281976646.0,152770454.0,15084342.0,12010743.0,363845213.0
(주)TCC스틸,2710,2010/12,1984/12/21,,317861931.0,158971655.0,15738571.0,10765811.0,442430416.0
(주)가비아,79940,2002/12,2005/10/19,,3375642.0,1592733.0,273078.0,357265.0,5379580.0
(주)가비아,79940,2003/12,2005/10/19,,4772732.0,2682952.0,1148304.0,1090219.0,7868237.0
(주)가비아,79940,2004/12,2005/10/19,,6222817.0,3949674.0,1318292.0,1266722.0,9725300.0
(주)가비아,79940,2005/12,2005/10/19,,12234085.0,8931628.0,1749970.0,1648518.0,13842437.0
(주)가비아,79940,2006/12,2005/10/19,,14743326.0,10640645.0,2264750.0,1994345.0,15590215.0
(주)가비아,79940,2007/12,2005/10/19,,32754601.0,21462579.0,4871357.0,3022438.0,27270400.0
(주)가비아,79940,2008/12,2005/10/19,,43119087.0,25734181.0,5522735.0,2909428.0,32695039.0
(주)가비아,79940,2009/12,2005/10/19,,45179076.0,31118762.0,5631163.0,4441702.0,35644995.0
(주)가비아,79940,2010/12,2005/10/19,,50951705.0,35619767.0,6616833.0,5289526.0,40746190.0
(주)갑을,9840,2000/12,1989/08/01,2003/04/16,395418286.0,-357984672.0,-4496371.0,-89776749.0,297559721.0
(주)갑을,9840,2001/12,1989/08/01,2003/04/16,998319742.0,191173923.0,25784350.0,-245440190.0,564188666.0
(주)갑을,9840,2002/12,1989/08/01,2003/04/16,436620682.0,-196225181.0,-22128664.0,-244010633.0,236342997.0
(주)강원랜드,35250,2000/12,2003/09/04,,342866637.0,265911066.0,44646057.0,41233502.0,90950943.0
(주)강원랜드,35250,2000/12,2001/10/25,2003/09/04,342866637.0,265911066.0,44646057.0,41233502.0,90950943.0
(주)강원랜드,35250,2001/12,2003/09/04,,695214235.0,461259228.0,302920519.0,218278162.0,462019837.0
(주)강원랜드,35250,2001/12,2001/10/25,2003/09/04,695214235.0,461259228.0,302920519.0,218278162.0,462019837.0
(주)강원랜드,35250,2002/12,2003/09/04,,823396781.0,637999658.0,298339170.0,221018430.0,476061165.0
(주)강원랜드,35250,2002/12,2001/10/25,2003/09/04,823396781.0,637999658.0,298339170.0,221018430.0,476061165.0
(주)강원랜드,35250,2003/12,2003/09/04,,1078515534.0,858398702.0,331114954.0,229690326.0,677131541.0
(주)강원랜드,35250,2004/12,2003/09/04,,1318309909.0,1067314072.0,380556261.0,271233488.0,764113464.0
(주)강원랜드,35250,2005/12,2003/09/04,,1525389753.0,1259830645.0,416739551.0,299087521.0,846961875.0
(주)강원랜드,35250,2006/12,2003/09/04,,1711966818.0,1383167952.0,326154762.0,247935896.0,869495601.0
(주)강원랜드,35250,2007/12,2003/09/04,,2022203780.0,1569420419.0,418174770.0,292776710.0,1066507237.0
(주)강원랜드,35250,2008/12,2003/09/04,,2076415220.0,1631372889.0,470761907.0,309254549.0,1149282882.0
(주)강원랜드,35250,2009/12,2003/09/04,,2386985774.0,1889714656.0,463657864.0,390000453.0,1206658712.0
(주)강원랜드,35250,2010/12,2003/09/04,,2610474616.0,2100462312.0,565893599.0,421119501.0,1314090565.0
(주)강원에너지,114190,2000/11,2009/11/20,,12319922.0,3908224.0,781937.0,374860.0,14909645.0
(주)강원에너지,114190,2001/11,2009/11/20,,11897762.0,3973424.0,322313.0,101818.0,13529464.0
(주)강원에너지,114190,2002/11,2009/11/20,,12617149.0,5138553.0,1950416.0,1194771.0,25335134.0
(주)강원에너지,114190,2003/11,2009/11/20,,11890759.0,5404760.0,415642.0,266207.0,19399051.0
(주)강원에너지,114190,2004/11,2009/11/20,,12329038.0,4548316.0,-125177.0,23556.0,16927861.0
(주)강원에너지,114190,2005/11,2009/11/20,,11932242.0,3490265.0,-1719385.0,-1058051.0,17688429.0
(주)강원에너지,114190,2006/11,2009/11/20,,13444042.0,4129872.0,1125324.0,639607.0,22797446.0
(주)강원에너지,114190,2007/11,2009/11/20,,22319635.0,6645689.0,3388920.0,2334373.0,31479842.0
(주)강원에너지,114190,2008/11,2009/11/20,,29219824.0,8751885.0,6501293.0,2333829.0,49499533.0
(주)강원에너지,114190,2009/11,2009/11/20,,31707899.0,17878192.0,4242047.0,2590392.0,38673260.0
(주)강원에너지,114190,2010/11,2009/11/20,,28677832.0,19268894.0,1779388.0,1716786.0,30619298.0
(주)갤럭시아에스엠,11420,2000/12,1989/11/14,,66992091.0,22511945.0,5240859.0,896380.0,80300777.0
(주)갤럭시아에스엠,11420,2001/12,1989/11/14,,58976701.0,23492258.0,5322353.0,1448570.0,65486715.0
(주)갤럭시아에스엠,11420,2002/12,1989/11/14,,63136107.0,18137501.0,-2271527.0,-4452841.0,62516316.0
(주)갤럭시아에스엠,11420,2003/12,1989/11/14,,69379430.0,20326947.0,949280.0,-3250884.0,61846728.0
(주)갤럭시아에스엠,11420,2004/12,1989/11/14,,48314987.0,21849922.0,-12428870.0,64902.0,29759229.0
(주)갤럭시아에스엠,11420,2005/12,1989/11/14,,44680696.0,14255362.0,-5295401.0,-7377900.0,32424868.0
(주)갤럭시아에스엠,11420,2006/12,1989/11/14,,102778251.0,274883.0,-792464.0,-7515189.0,45284226.0
(주)갤럭시아에스엠,11420,2007/12,1989/11/14,,66751314.0,12498485.0,6472954.0,3564680.0,46163886.0
(주)갤럭시아에스엠,11420,2008/12,1989/11/14,,55301387.0,19723944.0,6590527.0,-3112483.0,54450391.0
(주)갤럭시아에스엠,11420,2009/12,1989/11/14,,46564045.0,22883185.0,2178651.0,1983450.0,47884151.0
(주)갤럭시아에스엠,11420,2010/12,1989/11/14,,35032207.0,21830197.0,3765452.0,441104.0,42704968.0
(주)건영,12720,2000/12,1989/08/22,2003/10/02,642227917.0,-9819010.0,-61922478.0,-207473421.0,191941011.0
(주)건영,12720,2001/12,1989/08/22,2003/10/02,589729795.0,186094183.0,-36494804.0,18519702.0,176576942.0
(주)건영,12720,2002/12,1989/08/22,2003/10/02,500406297.0,125452637.0,4613776.0,-32294963.0,163767589.0
(주)경농,2100,2000/12,1977/06/30,,152881810.0,79012803.0,11265157.0,4477985.0,111430975.0
(주)경농,2100,2001/12,1977/06/30,,207546301.0,99756983.0,14319548.0,4452297.0,155060559.0
