회사명,거래소코드,회계년도,상장일,상장폐지일,매출액증가율_계산
(주)SNT홀딩스,36530,2011/12,2002/10/22,,11.026295033176014
(주)SNT홀딩스,36530,2012/12,2002/10/22,,0.29472912808192986
(주)SNT홀딩스,36530,2013/12,2002/10/22,,-5.535966760421159
(주)SNT홀딩스,36530,2014/12,2002/10/22,,-1.5220843697365416
(주)SNT홀딩스,36530,2015/12,2002/10/22,,3.8890171862271257
(주)SNT홀딩스,36530,2016/12,2002/10/22,,-4.653343475689235
(주)SNT홀딩스,36530,2017/12,2002/10/22,,-1.9215801336837246
(주)SNT홀딩스,36530,2018/12,2002/10/22,,-7.084474286974651
(주)SNT홀딩스,36530,2019/12,2002/10/22,,7.907406791395409
(주)SNT홀딩스,36530,2020/12,2002/10/22,,-5.049873056410908
(주)STX,11810,2010/12,1990/09/12,,15.376884087931977
(주)STX,11810,2011/12,1990/09/12,,-69.56399239614845
(주)STX,11810,2012/12,1990/09/12,,3.219816140252335
(주)STX,11810,2013/12,1990/09/12,,-60.23602847471935
(주)STX,11810,2014/12,1990/09/12,,-33.265071746112625
(주)STX,11810,2015/12,1990/09/12,,-0.23118720963950945
(주)STX,11810,2016/12,1990/09/12,,5.477343703532012
(주)STX,11810,2017/12,1990/09/12,,4.86729959486162
(주)STX,11810,2018/12,1990/09/12,,-16.680340909972845
(주)STX,11810,2019/12,1990/09/12,,-2.11718679827144
(주)STX,11810,2020/12,1990/09/12,,-33.68740670652626
(주)TCC스틸,2710,2010/12,1984/12/21,,21.598526019359777
(주)TCC스틸,2710,2011/12,1984/12/21,,16.2723050668379
(주)TCC스틸,2710,2012/12,1984/12/21,,-2.5439261982550843
(주)TCC스틸,2710,2013/12,1984/12/21,,-0.10067489967710871
(주)TCC스틸,2710,2014/12,1984/12/21,,3.626457306344624
(주)TCC스틸,2710,2015/12,1984/12/21,,-4.470054291827416
(주)TCC스틸,2710,2016/12,1984/12/21,,-10.355519076115904
(주)TCC스틸,2710,2017/12,1984/12/21,,-11.943550197311357
(주)TCC스틸,2710,2018/12,1984/12/21,,5.571756106493697
(주)TCC스틸,2710,2019/12,1984/12/21,,5.808083430655999
(주)TCC스틸,2710,2020/12,1984/12/21,,-1.229714302570605
(주)가비아,79940,2010/12,2005/10/19,,14.311111559981985
(주)가비아,79940,2011/12,2005/10/19,,29.67804842612279
(주)가비아,79940,2012/12,2005/10/19,,30.695739408780625
(주)가비아,79940,2013/12,2005/10/19,,2.342114783739337
(주)가비아,79940,2014/12,2005/10/19,,13.804604179676527
(주)가비아,79940,2015/12,2005/10/19,,13.945405368086677
(주)가비아,79940,2016/12,2005/10/19,,11.489922892675898
(주)가비아,79940,2017/12,2005/10/19,,13.739580562256162
(주)가비아,79940,2018/12,2005/10/19,,10.764686495349284
(주)가비아,79940,2019/12,2005/10/19,,15.20910243624645
(주)가비아,79940,2020/12,2005/10/19,,13.983219982555362
(주)가온칩스,399720,2019/12,2022/05/20,,
(주)가온칩스,399720,2020/12,2022/05/20,,
(주)갑을,9840,2002/12,1989/08/01,2003/04/16,-58.10922635585168
(주)강스템바이오텍,217730,2014/12,2015/12/21,,
(주)강스템바이오텍,217730,2015/12,2015/12/21,,
(주)강스템바이오텍,217730,2016/12,2015/12/21,,-43.22989533158246
